,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
223,Aus,Aus,500 kWp,Luft/Wasser 1000,Normal weiter,0%,55,zukunft Normal,1944363.8927444993,27186.63015498044,1560820.9778128401,1268.885,584.2839373742283,0.0,3.6036196574610497,436364.06898217555,650516.3065716948
224,Aus,Aus,500 kWp,Luft/Wasser 1000,Normal weiter,0%,65,zukunft Normal,1473186.9612334354,25408.390447269245,3434554.6380008752,1268.885,524.1352187046461,0.0,3.6321870544337345,436364.06898217555,181117.6147683417
225,Aus,Aus,500 kWp,Luft/Wasser 1000,Normal weiter,0%,75,zukunft Normal,1361460.3222694385,23002.50033976376,3895024.0648063,1268.885,370.8074556184423,0.0,3.390545930869456,436364.06898217555,71796.86591185043
226,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Normal weiter,0%,55,zukunft Normal,1735572.4468542936,217446.5480577329,1550093.5728775777,1268.885,572.8825165484332,0.0,3.5989564439769732,838940.9438647135,654041.8176612741
227,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Normal weiter,0%,65,zukunft Normal,1276283.2247783972,209108.1643812154,3374299.0040932917,1268.885,513.7873149706921,0.0,3.5062272524179834,838940.9438647135,203090.97926189515
228,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Normal weiter,0%,75,zukunft Normal,1175019.8824500444,198085.01707226638,3803282.389859116,1268.885,360.4595518844883,0.0,2.888753332175097,838940.9438647135,112850.78424249149
229,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Normal weiter,0%,55,zukunft Normal,1620681.2208024724,496528.17376259743,1524466.9566392717,1268.885,567.5753863128838,0.0,3.587032201233594,1241517.8187472513,662645.840787126
230,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Normal weiter,0%,65,zukunft Normal,1177390.815341138,479731.9975294532,3288748.408881863,1268.885,503.4394112367381,0.0,3.3414070591750695,1241517.8187472513,236151.61155893613
231,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Normal weiter,0%,75,zukunft Normal,1085106.9664894594,458030.20223699795,3699631.151183965,1268.885,356.1277099820951,0.0,2.5323749057023686,1241517.8187472513,165569.5579997129
232,Ein,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,2241729.411184271,0.0,1535707.238531694,1248.083606557377,594.4053582000236,0.0,3.603788682650348,111661.1909982627,650365.5771825333
233,Ein,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1770944.8044278184,0.0,3382572.862706038,1248.083606557377,538.753859167038,0.0,3.641243607074757,111661.1909982627,179580.9704260814
234,Ein,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1657242.6896392447,0.0,3846595.2888986603,1248.083606557377,378.3603288267666,0.0,3.4808974492786997,111661.1909982627,65878.85563750762
235,Ein,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1872563.471843161,33260.206152266954,1535233.7486683673,1248.083606557377,583.0039373742284,0.0,3.6036196574610497,514238.06588080054,650516.3065716948
236,Ein,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1401633.5959288415,31208.91708145908,3376684.075188925,1248.083606557377,510.2352187046462,0.0,3.6296772613145287,514238.06588080054,181637.7197281833
