sep=,
"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1591941600000,209.24046106666665,100.80116293333334
1591942500000,213.76958893333338,104.74974506666668
1591943400000,212.80038633333334,104.95221
1591944300000,215.24740939999998,107.4710387333333
1591945200000,222.35003820000003,114.35836853333333
1591946100000,220.55025719999998,105.78906719999999
1591947000000,228.21653933333337,116.428104
1591947900000,230.17893833333338,120.87859286666668
1591948800000,227.65628299999997,116.61617666666669
1591949700000,225.47472073333333,104.01824306666668
1591950600000,231.01046446666663,110.03205733333333
1591951500000,227.6587898666666,108.93028026666667
1591952400000,234.9421834,114.97478873333331
1591953300000,239.70271466666674,122.87915786666667
1591954200000,234.08111126666662,104.05465153333334
1591955100000,235.75381233333337,110.69200326666666
1591956000000,229.70613666666668,84.58935453333332
1591956900000,222.1826492666667,71.8296972
1591957800000,221.7441366,77.80449046666666
1591958700000,218.89418659999998,74.27214520000001
1591959600000,215.72021959999998,78.26225433333333
1591960500000,211.21878073333335,71.21254106666667
1591961400000,207.22331720000003,70.2053346
1591962300000,208.06304586666664,70.48342893333333
1591963200000,200.54661140000002,58.88850393333334
1591964100000,198.7257995333333,53.2007124
1591965000000,197.85982073333332,53.61135113333333
1591965900000,197.81701819999998,52.635175133333334
1591966800000,195.35333293333326,58.95860953333333
1591967700000,192.53550373333334,48.23655086666666
1591968600000,190.30809040000003,51.29773920000001
1591969500000,190.37268906666668,50.32015426666666
1591970400000,183.0737342666667,39.61041866666667
1591971300000,175.93269973333332,37.801762599999996
1591972200000,181.5287972666667,47.142480600000006
1591973100000,167.31416113333336,32.446034733333335
1591974000000,163.18061046666668,20.931799733333335
1591974900000,166.1474702,27.775496999999998
1591975800000,165.8865292,30.204208399999995
1591976700000,163.69923840000004,24.04020573333333
1591977600000,154.30015253333335,24.070079933333332
1591978500000,159.244483,23.472952533333338
1591979400000,153.07091526666667,22.19839053333333
1591980300000,152.0275674,20.2544166
1591981200000,147.41300793333332,21.507000533333333
1591982100000,146.85465973333334,28.501733266666665
1591983000000,145.79234953333332,33.891971999999996
1591983900000,150.66163486666667,36.554526133333326
1591984800000,149.60013926666664,38.49269113333333
1591985700000,146.93409526666667,33.86223566666666
1591986600000,136.98314953333332,26.688374666666668
1591987500000,134.94478013333335,24.935253266666663
1591988400000,136.99832513333334,28.589557266666663
1591989300000,134.22835333333333,27.54381526666667
1591990200000,133.55456486666668,28.918744333333333
1591991100000,131.39694706666668,26.799470199999995
1591992000000,140.74936126666665,37.05505553333333
1591992900000,136.56470606666664,32.88655313333334
1591993800000,145.7677952,42.69384686666667
1591994700000,144.13060846666667,39.73856926666667
1591995600000,142.51092966666667,36.8520366
1591996500000,140.6092962,30.868666466666664
1591997400000,138.52230493333334,28.591735000000007
1591998300000,142.8429568,34.5902466
1591999200000,157.3263902,45.039090333333334
1592000100000,156.86799340000002,44.971101266666665
1592001000000,156.20444246666665,44.37917546666666
1592001900000,168.41234953333336,56.97334266666666
1592002800000,168.05107606666667,56.52668746666667
1592003700000,160.20819586666667,48.83622033333334
1592004600000,159.27937893333333,48.39118806666667
1592005500000,158.85468279999998,49.36923706666667
1592006400000,155.61085026666666,46.614352333333336
1592007300000,161.59502046666665,47.56247153333333
1592008200000,157.39945846666663,44.656257733333334
1592009100000,161.2908174,47.33931293333333
1592010000000,158.33692606666665,41.25951126666667
1592010900000,158.18286466666666,45.46783146666667
1592011800000,159.05095813333335,47.90790153333333
1592012700000,160.75804960000002,51.07992933333335
1592013600000,159.55654986666664,46.9545732
1592014500000,161.24230621428572,49.556694785714285
1592015400000,161.9599919333333,49.91742806666668
1592016300000,155.7333908,43.38687613333333
1592017200000,154.17021173333336,40.74890133333333
1592018100000,152.10488853333334,42.94652699999999
1592019000000,153.7353657333333,46.52616593333334
1592019900000,153.04330466666667,43.885348133333345
1592020800000,156.00509306666663,49.92334046666666
1592021700000,155.76659766666668,48.046027800000005
1592022600000,159.75109740000002,55.331269999999996
1592023500000,157.31003113333333,54.64156266666667
1592024400000,160.03637033333334,56.098431
1592025300000,162.1330870666667,55.9581964
1592026200000,160.9709890666667,53.10307366666667
1592027100000,164.08434393333332,54.89028566666666
1592028000000,167.3363942,51.64679066666666
1592028900000,165.2688938,48.49228659999999
1592029800000,166.3025782,49.75562786666667
1592030700000,162.03345186666672,48.20646233333333
1592031600000,169.4365234,57.88799966666667
1592032500000,178.33584,67.78159586666668
1592033400000,178.7489766,69.04453366666667
1592034300000,176.972407,64.97317246666667
1592035200000,176.05941266666665,62.08818419999999
1592036100000,170.27711759999997,56.0030992
1592037000000,171.90602159999997,47.895615533333334
1592037900000,173.2395682,40.60158619999999
1592038800000,174.60211046666666,33.39009693333333
1592039700000,174.61880733333334,32.03666186666667
1592040600000,178.673263,37.9822944
1592041500000,184.95169353333333,38.820868733333334
1592042400000,187.28459993333334,38.608232533333336
1592043300000,169.20941246666663,35.97322726666667
1592044200000,172.20064186666664,38.88284286666667
1592045100000,172.14591973333333,40.87689886666667
1592046000000,180.63775706666667,47.2140838
1592046900000,170.95037299999998,37.436906066666666
