"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1622151900000,161.14196260000003,55.601239133333344
1622152800000,158.05249286666668,53.17628926666667
1622153700000,157.40279792857146,51.54255271428571
1622154600000,166.00364739999998,60.528035
1622155500000,160.50422966666667,54.09066706666666
1622156400000,162.67630393333332,55.53054446666667
1622157300000,164.46655426666666,57.00269446666666
1622158200000,161.41690273333333,55.05440406666666
1622159100000,163.20624173333331,55.22665426666666
1622160000000,159.93254913333334,52.73540860000001
1622160900000,158.52159193333333,51.528382400000005
1622161800000,159.55363873333332,48.82712733333334
1622162700000,162.4957488,53.92232453333334
1622163600000,160.29424166666664,51.2159522
1622164500000,162.19831553333333,54.36928193333333
1622165400000,156.76481293333336,52.477886466666654
1622166300000,163.11249453333332,59.10313020000001
1622167200000,163.6304356,59.233590199999995
1622168100000,160.53287946666666,58.010489533333335
1622169000000,167.71938466666668,63.522616
1622169900000,166.21525720000002,61.74480513333333
1622170800000,168.69795893333333,66.4741848
1622171700000,189.05019159999998,85.18909533333336
1622172600000,173.45784446666667,71.0093542
1622173500000,176.8935124,74.81159766666666
1622174400000,183.83962820000002,81.72419373333334
1622175300000,183.81056313333335,81.38505333333333
1622176200000,188.03579666666667,85.00684566666665
1622177100000,184.70009146666672,80.60421726666668
1622178000000,185.9502892666666,80.0352954
1622178900000,191.05552900000004,84.26096126666667
1622179800000,190.4774078,80.72936946666667
1622180700000,190.79733286666664,78.75525926666667
1622181600000,199.23185146666663,84.57829386666666
1622182500000,203.04063285714284,87.80554764285714
1622183400000,209.27465093333328,94.77459446666667
1622184300000,213.15915940000005,97.0195736
1622185200000,212.05292899999998,92.64415953333334
1622186100000,218.6431994,86.81321600000001
1622187000000,215.51113460000002,85.07190453333334
1622187900000,219.51709853333332,91.07357046666668
1622188800000,237.74912940000002,110.76996313333333
1622189700000,234.12909306666663,109.75086680000001
1622190600000,235.43271306666668,107.77037666666666
1622191500000,239.97089259999998,112.7719344
1622192400000,238.57215393333334,106.92971913333334
1622193300000,241.31237173333335,108.57686646666667
1622194200000,240.20363566666668,149.1885624666667
1622195100000,238.93459833333335,148.9873402
1622196000000,243.108907,144.39520606666667
1622196900000,244.77084240000002,140.59339513333333
1622197800000,236.23571559999996,132.14022473333335
1622198700000,232.44412999999997,127.93955206666666
1622199600000,226.8755853333333,122.2396388
1622200500000,223.3807662,116.9054182
1622201400000,221.81224959999997,116.90908006666668
1622202300000,218.6882118,113.11787806666666
1622203200000,212.2226968666667,104.54392626666666
1622204100000,206.05998413333336,98.40907433333334
1622205000000,206.05091046666666,98.99885433333331
1622205900000,211.87956773333335,106.98273846666667
1622206800000,201.40990753333335,91.61144466666666
1622207700000,199.49357878571428,89.52706821428572
1622208600000,199.3218735333333,91.09036706666666
1622209500000,200.31980013333336,91.50715613333334
1622210400000,198.76889066666664,91.0735194
1622211300000,193.84388346666668,85.57974133333332
1622212200000,194.87990746666662,87.71568293333334
1622213100000,191.71285339999997,83.70463753333334
1622214000000,188.83399086666668,62.44742286666666
1622214900000,181.80413673333334,53.313173600000006
1622215800000,181.57103666666669,56.71061126666666
1622216700000,181.77010473333334,55.189220199999994
1622217600000,172.420295,52.48949673333333
1622218500000,175.53435120000003,57.78641473333334
1622219400000,175.66953299999997,56.34395773333333
1622220300000,175.6072078,58.24602013333334
1622221200000,171.01331739999998,53.95301006666667
1622222100000,166.74226373333335,52.19072859999999
1622223000000,167.55004180000003,55.931598466666664
1622223900000,163.74516286666667,57.4066818
1622224800000,162.73345246666665,54.72333153333333
